scope,dataset,video,method,qp,frame_count,bytes_consumed,expected_bytes,state_sync_pass,finite,decode_status
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,beta_mid,2,64,45636,45636,True,True,PASS
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,beta_mid,3,64,60467,60467,True,True,PASS
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,beta_high,0,64,27675,27675,True,True,PASS
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,beta_high,1,64,35630,35630,True,True,PASS
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,beta_high,2,64,46373,46373,True,True,PASS
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,beta_high,3,64,61835,61835,True,True,PASS
test,uvg,Beauty,original,0,64,16226,16226,True,True,PASS
test,uvg,Beauty,original,1,64,22057,22057,True,True,PASS
test,uvg,Beauty,original,2,64,29975,29975,True,True,PASS
test,uvg,Beauty,original,3,64,41349,41349,True,True,PASS
test,uvg,Beauty,beta_low,0,64,16226,16226,True,True,PASS
test,uvg,Beauty,beta_low,1,64,22057,22057,True,True,PASS
test,uvg,Beauty,beta_low,2,64,29975,29975,True,True,PASS
test,uvg,Beauty,beta_low,3,64,41349,41349,True,True,PASS
test,uvg,Beauty,beta_mid,0,64,16226,16226,True,True,PASS
test,uvg,Beauty,beta_mid,1,64,22057,22057,True,True,PASS
test,uvg,Beauty,beta_mid,2,64,29975,29975,True,True,PASS
test,uvg,Beauty,beta_mid,3,64,41349,41349,True,True,PASS
test,uvg,Beauty,beta_high,0,64,16014,16014,True,True,PASS
test,uvg,Beauty,beta_high,1,64,22200,22200,True,True,PASS
test,uvg,Beauty,beta_high,2,64,29988,29988,True,True,PASS
test,uvg,Beauty,beta_high,3,64,41849,41849,True,True,PASS
test,uvg,Bosphorus,original,0,64,24546,24546,True,True,PASS
test,uvg,Bosphorus,original,1,64,30994,30994,True,True,PASS
test,uvg,Bosphorus,original,2,64,39972,39972,True,True,PASS
test,uvg,Bosphorus,original,3,64,51949,51949,True,True,PASS
test,uvg,Bosphorus,beta_low,0,64,24546,24546,True,True,PASS
test,uvg,Bosphorus,beta_low,1,64,30994,30994,True,True,PASS
test,uvg,Bosphorus,beta_low,2,64,39972,39972,True,True,PASS
test,uvg,Bosphorus,beta_low,3,64,51949,51949,True,True,PASS
test,uvg,Bosphorus,beta_mid,0,64,24546,24546,True,True,PASS
test,uvg,Bosphorus,beta_mid,1,64,30994,30994,True,True,PASS
test,uvg,Bosphorus,beta_mid,2,64,39972,39972,True,True,PASS
test,uvg,Bosphorus,beta_mid,3,64,51949,51949,True,True,PASS
test,uvg,Bosphorus,beta_high,0,64,24690,24690,True,True,PASS
test,uvg,Bosphorus,beta_high,1,64,31071,31071,True,True,PASS
test,uvg,Bosphorus,beta_high,2,64,40115,40115,True,True,PASS
test,uvg,Bosphorus,beta_high,3,64,52164,52164,True,True,PASS
test,uvg,HoneyBee,original,0,64,23100,23100,True,True,PASS
test,uvg,HoneyBee,original,1,64,28168,28168,True,True,PASS
test,uvg,HoneyBee,original,2,64,35589,35589,True,True,PASS
test,uvg,HoneyBee,original,3,64,44679,44679,True,True,PASS
test,uvg,HoneyBee,beta_low,0,64,23100,23100,True,True,PASS
test,uvg,HoneyBee,beta_low,1,64,28168,28168,True,True,PASS
test,uvg,HoneyBee,beta_low,2,64,35589,35589,True,True,PASS
test,uvg,HoneyBee,beta_low,3,64,44679,44679,True,True,PASS
test,uvg,HoneyBee,beta_mid,0,64,23100,23100,True,True,PASS
test,uvg,HoneyBee,beta_mid,1,64,28168,28168,True,True,PASS
test,uvg,HoneyBee,beta_mid,2,64,35589,35589,True,True,PASS
test,uvg,HoneyBee,beta_mid,3,64,44679,44679,True,True,PASS
test,uvg,HoneyBee,beta_high,0,64,23088,23088,True,True,PASS
test,uvg,HoneyBee,beta_high,1,64,28258,28258,True,True,PASS
test,uvg,HoneyBee,beta_high,2,64,35590,35590,True,True,PASS
test,uvg,HoneyBee,beta_high,3,64,45023,45023,True,True,PASS
