split,video,frame,candidate,source,sha256
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,O2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_3_code_optimization_diagnosis/results_v1/optimizations/Bfull_lambda3/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0003/selected.pt,0656801a68cd9f7475f192595f1224ac47e92751f0cbcb92a54ff1f5c0016733
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4,Z,fixed_zero,
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4,E,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_2_oracle_residual_codec/results_v1/train2_full_CODED_l3/fb63c34e-0c28-4a4d-b8f8-59932b5e7875.orc,39dc121f84110d3045a64a7cf1c4edb5398aebc7640b8258f66a297f3508a98d
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4,O1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_4_rate_gap_diagnosis/results_v1/optimizations/adaptive_lambda1/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0004/selected.pt,e249cccd8b4a54dc272ba955c5a165a85ffcc7c0e75eb285034592cc3db2dd3f
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4,O2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_3_code_optimization_diagnosis/results_v1/optimizations/Bfull_lambda3/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0004/selected.pt,114f836c8f1d218904a6ff492b9f31cdf46162209b5ca40e9d62e12de61f746d
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5,Z,fixed_zero,
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5,E,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_2_oracle_residual_codec/results_v1/train2_full_CODED_l3/fb63c34e-0c28-4a4d-b8f8-59932b5e7875.orc,39dc121f84110d3045a64a7cf1c4edb5398aebc7640b8258f66a297f3508a98d
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5,O1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_4_rate_gap_diagnosis/results_v1/optimizations/adaptive_lambda1/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0005/selected.pt,67ade044c6752972b20ce3023fd9557af88e6092ebf6f826ad040e60541b0e36
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5,O2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_3_code_optimization_diagnosis/results_v1/optimizations/Bfull_lambda3/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0005/selected.pt,d88f41211dceb97bcd5a8ef0599f15efd450be54e4d72ec4006512e715ec63d9
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,6,Z,fixed_zero,
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,6,E,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_2_oracle_residual_codec/results_v1/train2_full_CODED_l3/fb63c34e-0c28-4a4d-b8f8-59932b5e7875.orc,39dc121f84110d3045a64a7cf1c4edb5398aebc7640b8258f66a297f3508a98d
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,6,O1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_4_rate_gap_diagnosis/results_v1/optimizations/adaptive_lambda1/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0006/selected.pt,854765ff95a55cc9c1723cb7205564ff5ad6b9169caf34d6510b87acd44112b2
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,6,O2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_3_code_optimization_diagnosis/results_v1/optimizations/Bfull_lambda3/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0006/selected.pt,3e5bb53af9bf5b8561a98ce321c3375784f006c80bfc3242407b738ac0e45abc
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,7,Z,fixed_zero,
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,7,E,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_2_oracle_residual_codec/results_v1/train2_full_CODED_l3/fb63c34e-0c28-4a4d-b8f8-59932b5e7875.orc,39dc121f84110d3045a64a7cf1c4edb5398aebc7640b8258f66a297f3508a98d
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,7,O1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_4_rate_gap_diagnosis/results_v1/optimizations/adaptive_lambda1/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0007/selected.pt,81ccf598e2e0d93fc3cdb067e8f76b54db63ef1699bb350bc9179f7966cbcf1d
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,7,O2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_3_code_optimization_diagnosis/results_v1/optimizations/Bfull_lambda3/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0007/selected.pt,c3a6e73ab32bdc366b6449044deddc195aa0e7c0ebf1ae0865c4cf1010b5edbf
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,Z,fixed_zero,
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,E,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_2_oracle_residual_codec/results_v1/train2_full_CODED_l3/fb63c34e-0c28-4a4d-b8f8-59932b5e7875.orc,39dc121f84110d3045a64a7cf1c4edb5398aebc7640b8258f66a297f3508a98d
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,O1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_4_rate_gap_diagnosis/results_v1/optimizations/adaptive_lambda1/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008/selected.pt,036004a86435cd9b32b5ec833977aaa30aa13730398c9882d632811b6956ee8e
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,O2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_3_code_optimization_diagnosis/results_v1/optimizations/B6q_lambda3/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008/selected.pt,074409fa1a2a44aa6a19afbfd72b7750c889b352f962ac74deb9bb02510326e5
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,9,Z,fixed_zero,
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,9,E,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_2_oracle_residual_codec/results_v1/train2_full_CODED_l3/fb63c34e-0c28-4a4d-b8f8-59932b5e7875.orc,39dc121f84110d3045a64a7cf1c4edb5398aebc7640b8258f66a297f3508a98d
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,9,O1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_4_rate_gap_diagnosis/results_v1/optimizations/adaptive_lambda1/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0009/selected.pt,ce13fc7eb58e3f56608331b399e3eb2a6e86a09fd68c21ae09a79191a11d53d5
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,9,O2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_3_code_optimization_diagnosis/results_v1/optimizations/Bfull_lambda3/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0009/selected.pt,69d2ff869504d506953d38e77707e414da8b11fcab04605f00b0165584423c58
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,10,Z,fixed_zero,
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,10,E,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_2_oracle_residual_codec/results_v1/train2_full_CODED_l3/fb63c34e-0c28-4a4d-b8f8-59932b5e7875.orc,39dc121f84110d3045a64a7cf1c4edb5398aebc7640b8258f66a297f3508a98d
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,10,O1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_4_rate_gap_diagnosis/results_v1/optimizations/adaptive_lambda1/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0010/selected.pt,5cc094453c7c9fa25c1207434d6ef9e173f1ffea0ab8fddddac8f14f876a0a2b
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,10,O2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_3_code_optimization_diagnosis/results_v1/optimizations/Bfull_lambda3/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0010/selected.pt,a5fd3a74dd438a8fa8c54c737b8c0bfebf55d7958a09c6345230acb032c845d6
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,11,Z,fixed_zero,
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,11,E,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_2_oracle_residual_codec/results_v1/train2_full_CODED_l3/fb63c34e-0c28-4a4d-b8f8-59932b5e7875.orc,39dc121f84110d3045a64a7cf1c4edb5398aebc7640b8258f66a297f3508a98d
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,11,O1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_4_rate_gap_diagnosis/results_v1/optimizations/adaptive_lambda1/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0011/selected.pt,cd1c5f14008fdbc69de5852ea62abd46aeb093b6494e0a87e8ad5dc98f6f9600
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,11,O2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_3_code_optimization_diagnosis/results_v1/optimizations/Bfull_lambda3/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0011/selected.pt,58f7a78d197921699afdcf06231438530338c2b340d18c687ba734822d1e8b9d
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,12,Z,fixed_zero,
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,12,E,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_2_oracle_residual_codec/results_v1/train2_full_CODED_l3/fb63c34e-0c28-4a4d-b8f8-59932b5e7875.orc,39dc121f84110d3045a64a7cf1c4edb5398aebc7640b8258f66a297f3508a98d
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,12,O1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_4_rate_gap_diagnosis/results_v1/optimizations/adaptive_lambda1/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0012/selected.pt,42187baff47dfba641c2f69f006fc72d7b0618314dc6d636cc82e1bc3a266971
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,12,O2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_3_code_optimization_diagnosis/results_v1/optimizations/Bfull_lambda3/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0012/selected.pt,8998caf53bc10ded772f97944f8f03ed9c0f3b3982a9f15fcad100759154ed00
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,13,Z,fixed_zero,
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,13,E,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_2_oracle_residual_codec/results_v1/train2_full_CODED_l3/fb63c34e-0c28-4a4d-b8f8-59932b5e7875.orc,39dc121f84110d3045a64a7cf1c4edb5398aebc7640b8258f66a297f3508a98d
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,13,O1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_4_rate_gap_diagnosis/results_v1/optimizations/adaptive_lambda1/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0013/selected.pt,466525b523ed813ce944da4069e796b7ad824a6c69a7d1643a83865f19d5ba68
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,13,O2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_3_code_optimization_diagnosis/results_v1/optimizations/Bfull_lambda3/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0013/selected.pt,1efd0e820331e5a8fdfc7cd74b310e708b34c9c80a8b201b44410ad101a13c60
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,14,Z,fixed_zero,
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,14,E,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_2_oracle_residual_codec/results_v1/train2_full_CODED_l3/fb63c34e-0c28-4a4d-b8f8-59932b5e7875.orc,39dc121f84110d3045a64a7cf1c4edb5398aebc7640b8258f66a297f3508a98d
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,14,O1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_4_rate_gap_diagnosis/results_v1/optimizations/adaptive_lambda1/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0014/selected.pt,03ada836015646c9d3fcea763d33f6de0fa9f6ebdd7b4621be0c0bdbcdfb3bc1
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,14,O2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_3_code_optimization_diagnosis/results_v1/optimizations/Bfull_lambda3/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0014/selected.pt,0b535b143472414ac7eed4e48eae596ff89a43d77a9c70321c285f065b7ef60f
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15,Z,fixed_zero,
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15,E,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_2_oracle_residual_codec/results_v1/train2_full_CODED_l3/fb63c34e-0c28-4a4d-b8f8-59932b5e7875.orc,39dc121f84110d3045a64a7cf1c4edb5398aebc7640b8258f66a297f3508a98d
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15,O1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_4_rate_gap_diagnosis/results_v1/optimizations/adaptive_lambda1/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0015/selected.pt,ef61353b1715f466b798fdacca0b304f3ce55a44ac289da1ca05be82115f877f
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15,O2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_3_code_optimization_diagnosis/results_v1/optimizations/B6q_lambda3/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0015/selected.pt,5b340b674ebbb1614c220697b072b4a2a5bd67ec6f54c0e9bcffc3935c5d9a32
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,1,Z,fixed_zero,
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,1,E,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_2_oracle_residual_codec/results_v1/train2_full_CODED_l3/c227e33d-910e-4e39-a325-0fe1d1116436.orc,39d7592156938ae62265ea46dba99d01fc63cb13dc6872ada81d8a369347402c
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,1,O1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_4_rate_gap_diagnosis/results_v1/optimizations/adaptive_lambda1/c227e33d-910e-4e39-a325-0fe1d1116436_f0001/selected.pt,1701cafa5f76feb5cf2857003d15c433b6407b5bb4e2037fc577a1f65ee61a90
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,1,O2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_3_code_optimization_diagnosis/results_v1/optimizations/B6q_lambda3/c227e33d-910e-4e39-a325-0fe1d1116436_f0001/selected.pt,b36f2a016709fb13c9942fbe825faf635ef6387874b25ff252baa4a06fdf66e1
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,2,Z,fixed_zero,
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,2,E,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_2_oracle_residual_codec/results_v1/train2_full_CODED_l3/c227e33d-910e-4e39-a325-0fe1d1116436.orc,39d7592156938ae62265ea46dba99d01fc63cb13dc6872ada81d8a369347402c
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,2,O1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_4_rate_gap_diagnosis/results_v1/optimizations/adaptive_lambda1/c227e33d-910e-4e39-a325-0fe1d1116436_f0002/selected.pt,b642b02aec3ee6bf9a3a44dc5a082b25d34dc2878c26a30eaca902ce1ed75fd9
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,2,O2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_3_code_optimization_diagnosis/results_v1/optimizations/Bfull_lambda3/c227e33d-910e-4e39-a325-0fe1d1116436_f0002/selected.pt,c7703b85a7d9b53e305efb18cfca5c8b7275300144c5a2b40a718a478c830423
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,3,Z,fixed_zero,
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,3,E,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_2_oracle_residual_codec/results_v1/train2_full_CODED_l3/c227e33d-910e-4e39-a325-0fe1d1116436.orc,39d7592156938ae62265ea46dba99d01fc63cb13dc6872ada81d8a369347402c
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,3,O1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_4_rate_gap_diagnosis/results_v1/optimizations/adaptive_lambda1/c227e33d-910e-4e39-a325-0fe1d1116436_f0003/selected.pt,9ba9d3b9b4326d86b865967591b8eab3fd4647a8a02f5adaee1ffb63f08ffe09
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,3,O2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_3_code_optimization_diagnosis/results_v1/optimizations/Bfull_lambda3/c227e33d-910e-4e39-a325-0fe1d1116436_f0003/selected.pt,fb68ddb500fae2a3b259b396cddcaa7bf4e7b6c9f659e55a4a91bc8a04bc2042
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,4,Z,fixed_zero,
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,4,E,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_2_oracle_residual_codec/results_v1/train2_full_CODED_l3/c227e33d-910e-4e39-a325-0fe1d1116436.orc,39d7592156938ae62265ea46dba99d01fc63cb13dc6872ada81d8a369347402c
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,4,O1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_4_rate_gap_diagnosis/results_v1/optimizations/adaptive_lambda1/c227e33d-910e-4e39-a325-0fe1d1116436_f0004/selected.pt,6453a0ea432ce071e39b863f174668753a3822862c74357ed4dcd635970cdfca
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,4,O2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_3_code_optimization_diagnosis/results_v1/optimizations/Bfull_lambda3/c227e33d-910e-4e39-a325-0fe1d1116436_f0004/selected.pt,356188cfcc12bc8e633c85521375ede29370674dce241390dc62d01e9e713a8c
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,5,Z,fixed_zero,
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,5,E,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_2_oracle_residual_codec/results_v1/train2_full_CODED_l3/c227e33d-910e-4e39-a325-0fe1d1116436.orc,39d7592156938ae62265ea46dba99d01fc63cb13dc6872ada81d8a369347402c
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,5,O1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_4_rate_gap_diagnosis/results_v1/optimizations/adaptive_lambda1/c227e33d-910e-4e39-a325-0fe1d1116436_f0005/selected.pt,d0f20d7f6f7dd073c968dc0fa26b995d23eb1b33ad8cb8f951bad53653124883
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,5,O2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_3_code_optimization_diagnosis/results_v1/optimizations/Bfull_lambda3/c227e33d-910e-4e39-a325-0fe1d1116436_f0005/selected.pt,9bf63b13eb0b01d7ea8028ade379ec12c5225285945a9bd9742a8bb9cf6265b6
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,6,Z,fixed_zero,
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,6,E,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_2_oracle_residual_codec/results_v1/train2_full_CODED_l3/c227e33d-910e-4e39-a325-0fe1d1116436.orc,39d7592156938ae62265ea46dba99d01fc63cb13dc6872ada81d8a369347402c
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,6,O1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_4_rate_gap_diagnosis/results_v1/optimizations/adaptive_lambda1/c227e33d-910e-4e39-a325-0fe1d1116436_f0006/selected.pt,72bdde487324f12743e678355e7a4cec825aabacda9a6bed249f613990211d11
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,6,O2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_3_code_optimization_diagnosis/results_v1/optimizations/Bfull_lambda3/c227e33d-910e-4e39-a325-0fe1d1116436_f0006/selected.pt,2095b8e444fbe79f89cadcea101591e8665f84ee60bf1312e1cf2f0d395a9b5e
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,7,Z,fixed_zero,
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,7,E,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_2_oracle_residual_codec/results_v1/train2_full_CODED_l3/c227e33d-910e-4e39-a325-0fe1d1116436.orc,39d7592156938ae62265ea46dba99d01fc63cb13dc6872ada81d8a369347402c
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,7,O1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_4_rate_gap_diagnosis/results_v1/optimizations/adaptive_lambda1/c227e33d-910e-4e39-a325-0fe1d1116436_f0007/selected.pt,c2be034391c1a234801ffd8886c784f739a90e6feab9b37085cd4d8e419db9db
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,7,O2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_3_code_optimization_diagnosis/results_v1/optimizations/Bfull_lambda3/c227e33d-910e-4e39-a325-0fe1d1116436_f0007/selected.pt,0d78d350e2b55260921330cc72a0d71e638cbc8e4e08196d518964756560ed72
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,8,Z,fixed_zero,
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,8,E,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_2_oracle_residual_codec/results_v1/train2_full_CODED_l3/c227e33d-910e-4e39-a325-0fe1d1116436.orc,39d7592156938ae62265ea46dba99d01fc63cb13dc6872ada81d8a369347402c
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,8,O1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_4_rate_gap_diagnosis/results_v1/optimizations/adaptive_lambda1/c227e33d-910e-4e39-a325-0fe1d1116436_f0008/selected.pt,7850c345f7cfcfe173badea2ddb25a1af5c967eef846406799531317553225f1
