scope,dataset,video,method,stage,qp,bytes_consumed,expected_bytes,state_sync_pass,finite,decode_status
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_high,B,1,8260,8260,True,True,PASS
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_high,B,3,13757,13757,True,True,PASS
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_high,B,1,10205,10205,True,True,PASS
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_high,B,3,17023,17023,True,True,PASS
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_high,B,1,8283,8283,True,True,PASS
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_high,B,3,12519,12519,True,True,PASS
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,original,original,0,47024,47024,True,True,PASS
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,original,original,1,57653,57653,True,True,PASS
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,original,original,2,76829,76829,True,True,PASS
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,original,original,3,96549,96549,True,True,PASS
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,v2_stage_a,A,0,48363,48363,True,True,PASS
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,v2_stage_a,A,1,59357,59357,True,True,PASS
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,v2_stage_a,A,2,78465,78465,True,True,PASS
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,v2_stage_a,A,3,98301,98301,True,True,PASS
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,v2_beta_low,B,0,43541,43541,True,True,PASS
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,v2_beta_low,B,1,54841,54841,True,True,PASS
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,v2_beta_low,B,2,70972,70972,True,True,PASS
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,v2_beta_low,B,3,88562,88562,True,True,PASS
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,v2_beta_mid,B,0,35908,35908,True,True,PASS
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,v2_beta_mid,B,1,46129,46129,True,True,PASS
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,v2_beta_mid,B,2,57928,57928,True,True,PASS
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,v2_beta_mid,B,3,72804,72804,True,True,PASS
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,v2_beta_high,B,0,26082,26082,True,True,PASS
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,v2_beta_high,B,1,33916,33916,True,True,PASS
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,v2_beta_high,B,2,44302,44302,True,True,PASS
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,v2_beta_high,B,3,56555,56555,True,True,PASS
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,original,original,0,41938,41938,True,True,PASS
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,original,original,1,52078,52078,True,True,PASS
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,original,original,2,64056,64056,True,True,PASS
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,original,original,3,78986,78986,True,True,PASS
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,v2_stage_a,A,0,42076,42076,True,True,PASS
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,v2_stage_a,A,1,52726,52726,True,True,PASS
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,v2_stage_a,A,2,64380,64380,True,True,PASS
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,v2_stage_a,A,3,80094,80094,True,True,PASS
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,v2_beta_low,B,0,39032,39032,True,True,PASS
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,v2_beta_low,B,1,48977,48977,True,True,PASS
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,v2_beta_low,B,2,58554,58554,True,True,PASS
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,v2_beta_low,B,3,72520,72520,True,True,PASS
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,v2_beta_mid,B,0,33089,33089,True,True,PASS
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,v2_beta_mid,B,1,42065,42065,True,True,PASS
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,v2_beta_mid,B,2,49951,49951,True,True,PASS
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,v2_beta_mid,B,3,63043,63043,True,True,PASS
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,v2_beta_high,B,0,24858,24858,True,True,PASS
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,v2_beta_high,B,1,33537,33537,True,True,PASS
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,v2_beta_high,B,2,43537,43537,True,True,PASS
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,v2_beta_high,B,3,55446,55446,True,True,PASS
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,original,original,0,27630,27630,True,True,PASS
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,original,original,1,35312,35312,True,True,PASS
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,original,original,2,45636,45636,True,True,PASS
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,original,original,3,60467,60467,True,True,PASS
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,v2_stage_a,A,0,28343,28343,True,True,PASS
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,v2_stage_a,A,1,36857,36857,True,True,PASS
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,v2_stage_a,A,2,47466,47466,True,True,PASS
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,v2_stage_a,A,3,61932,61932,True,True,PASS
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,v2_beta_low,B,0,25289,25289,True,True,PASS
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,v2_beta_low,B,1,31979,31979,True,True,PASS
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,v2_beta_low,B,2,40463,40463,True,True,PASS
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,v2_beta_low,B,3,50857,50857,True,True,PASS
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,v2_beta_mid,B,0,22063,22063,True,True,PASS
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,v2_beta_mid,B,1,26130,26130,True,True,PASS
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,v2_beta_mid,B,2,32360,32360,True,True,PASS
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,v2_beta_mid,B,3,40425,40425,True,True,PASS
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,v2_beta_high,B,0,18507,18507,True,True,PASS
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,v2_beta_high,B,1,22586,22586,True,True,PASS
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,v2_beta_high,B,2,27699,27699,True,True,PASS
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,v2_beta_high,B,3,33448,33448,True,True,PASS
test,uvg,Beauty,original,original,0,16226,16226,True,True,PASS
test,uvg,Beauty,original,original,1,22057,22057,True,True,PASS
test,uvg,Beauty,original,original,2,29975,29975,True,True,PASS
test,uvg,Beauty,original,original,3,41349,41349,True,True,PASS
test,uvg,Beauty,v2_stage_a,A,0,16762,16762,True,True,PASS
test,uvg,Beauty,v2_stage_a,A,1,22953,22953,True,True,PASS
test,uvg,Beauty,v2_stage_a,A,2,31450,31450,True,True,PASS
test,uvg,Beauty,v2_stage_a,A,3,43801,43801,True,True,PASS
test,uvg,Beauty,v2_beta_low,B,0,16197,16197,True,True,PASS
test,uvg,Beauty,v2_beta_low,B,1,21824,21824,True,True,PASS
test,uvg,Beauty,v2_beta_low,B,2,29216,29216,True,True,PASS
test,uvg,Beauty,v2_beta_low,B,3,39135,39135,True,True,PASS
test,uvg,Beauty,v2_beta_mid,B,0,13281,13281,True,True,PASS
test,uvg,Beauty,v2_beta_mid,B,1,17406,17406,True,True,PASS
test,uvg,Beauty,v2_beta_mid,B,2,22846,22846,True,True,PASS
test,uvg,Beauty,v2_beta_mid,B,3,31405,31405,True,True,PASS
test,uvg,Beauty,v2_beta_high,B,0,14325,14325,True,True,PASS
test,uvg,Beauty,v2_beta_high,B,1,16448,16448,True,True,PASS
test,uvg,Beauty,v2_beta_high,B,2,21628,21628,True,True,PASS
test,uvg,Beauty,v2_beta_high,B,3,28775,28775,True,True,PASS
test,uvg,Bosphorus,original,original,0,24546,24546,True,True,PASS
test,uvg,Bosphorus,original,original,1,30994,30994,True,True,PASS
test,uvg,Bosphorus,original,original,2,39972,39972,True,True,PASS
test,uvg,Bosphorus,original,original,3,51949,51949,True,True,PASS
test,uvg,Bosphorus,v2_stage_a,A,0,25524,25524,True,True,PASS
test,uvg,Bosphorus,v2_stage_a,A,1,31784,31784,True,True,PASS
test,uvg,Bosphorus,v2_stage_a,A,2,41553,41553,True,True,PASS
test,uvg,Bosphorus,v2_stage_a,A,3,53994,53994,True,True,PASS
test,uvg,Bosphorus,v2_beta_low,B,0,23525,23525,True,True,PASS
test,uvg,Bosphorus,v2_beta_low,B,1,29702,29702,True,True,PASS
test,uvg,Bosphorus,v2_beta_low,B,2,37817,37817,True,True,PASS
test,uvg,Bosphorus,v2_beta_low,B,3,49417,49417,True,True,PASS
test,uvg,Bosphorus,v2_beta_mid,B,0,21949,21949,True,True,PASS
test,uvg,Bosphorus,v2_beta_mid,B,1,28554,28554,True,True,PASS
test,uvg,Bosphorus,v2_beta_mid,B,2,36185,36185,True,True,PASS
test,uvg,Bosphorus,v2_beta_mid,B,3,46693,46693,True,True,PASS
test,uvg,Bosphorus,v2_beta_high,B,0,17768,17768,True,True,PASS
test,uvg,Bosphorus,v2_beta_high,B,1,23909,23909,True,True,PASS
test,uvg,Bosphorus,v2_beta_high,B,2,31712,31712,True,True,PASS
test,uvg,Bosphorus,v2_beta_high,B,3,42274,42274,True,True,PASS
test,uvg,HoneyBee,original,original,0,23100,23100,True,True,PASS
test,uvg,HoneyBee,original,original,1,28168,28168,True,True,PASS
test,uvg,HoneyBee,original,original,2,35589,35589,True,True,PASS
test,uvg,HoneyBee,original,original,3,44679,44679,True,True,PASS
test,uvg,HoneyBee,v2_stage_a,A,0,23430,23430,True,True,PASS
test,uvg,HoneyBee,v2_stage_a,A,1,28810,28810,True,True,PASS
test,uvg,HoneyBee,v2_stage_a,A,2,36366,36366,True,True,PASS
test,uvg,HoneyBee,v2_stage_a,A,3,45593,45593,True,True,PASS
test,uvg,HoneyBee,v2_beta_low,B,0,22713,22713,True,True,PASS
test,uvg,HoneyBee,v2_beta_low,B,1,27650,27650,True,True,PASS
test,uvg,HoneyBee,v2_beta_low,B,2,34322,34322,True,True,PASS
test,uvg,HoneyBee,v2_beta_low,B,3,43205,43205,True,True,PASS
test,uvg,HoneyBee,v2_beta_mid,B,0,23386,23386,True,True,PASS
test,uvg,HoneyBee,v2_beta_mid,B,1,28419,28419,True,True,PASS
test,uvg,HoneyBee,v2_beta_mid,B,2,35164,35164,True,True,PASS
test,uvg,HoneyBee,v2_beta_mid,B,3,43372,43372,True,True,PASS
test,uvg,HoneyBee,v2_beta_high,B,0,17759,17759,True,True,PASS
test,uvg,HoneyBee,v2_beta_high,B,1,22601,22601,True,True,PASS
test,uvg,HoneyBee,v2_beta_high,B,2,29426,29426,True,True,PASS
test,uvg,HoneyBee,v2_beta_high,B,3,37814,37814,True,True,PASS
